date,operator,flight_phase,flight_type,country,region,total_on_board,crew_on_board,crew_fatalities,passengers_on_board,passenger_fatalities,total_fatalities,total_survivors,crash_cause
1985-08-12 00:00:00,Japan Airlines,Flight,Commercial,Japan,Asia,524,15,14,509,506,520,4,Human Factor
1974-03-03 00:00:00,Turkish Airlines - THY Türk Hava Yollari,Flight,Commercial,France,Europe,346,12,12,334,334,346,0,Technical Failure
1977-03-27 00:00:00,Pan American World Airways - PAA,Taxiing,Commercial,Spain,Europe,396,16,9,380,326,335,61,Human Factor
1985-06-23 00:00:00,Air India,Flight,Commercial,World,World,329,22,22,307,307,329,0,Terrorism
1996-11-12 00:00:00,Saudi Arabian Airlines - SAUDIA,Flight,Commercial,India,Asia,312,23,23,289,289,312,0,Human Factor
1980-08-19 00:00:00,Saudi Arabian Airlines - SAUDIA,Landing (descent or approach),Commercial,Saudi Arabia,Asia,301,14,14,287,287,301,0,Other
2014-07-17 00:00:00,Malaysian Airlines System - MAS,Flight,Commercial,Ukraine,Europe,298,15,15,283,283,298,0,Terrorism
1988-07-03 00:00:00,Iran Air,Flight,Commercial,Iran,Asia,290,16,16,274,274,290,0,Terrorism
2003-02-19 00:00:00,Islamic Revolutionary Guard Corps,Landing (descent or approach),Military / Government,Iran,Asia,275,18,18,257,257,275,0,Human Factor
1979-05-25 00:00:00,American Airlines,Takeoff (climb),Commercial,United States of America,North America,271,13,13,258,258,271,0,Technical Failure
1983-09-01 00:00:00,Korean Air,Flight,Commercial,Russia,Asia,269,23,23,246,246,269,0,Terrorism
1994-04-26 00:00:00,China Airlines,Landing (descent or approach),Commercial,Japan,Asia,271,15,15,256,249,264,7,Human Factor
1991-07-11 00:00:00,Nigeria Airways,Landing (descent or approach),Commercial,Saudi Arabia,Asia,261,14,14,247,247,261,0,Technical Failure
2001-11-12 00:00:00,American Airlines,Takeoff (climb),Commercial,United States of America,North America,260,9,9,251,251,260,0,Human Factor
1988-12-21 00:00:00,Pan American World Airways - PAA,Flight,Commercial,United Kingdom,Europe,259,16,16,243,243,259,0,Terrorism
1979-11-28 00:00:00,Air New Zealand,Flight,Commercial,Antarctica,Antarctica,257,20,20,237,237,257,0,Human Factor
2018-04-11 00:00:00,Algerian Air Force - Al Quwwat Aljawwija Aljaza'Eriiya,Takeoff (climb),Military / Government,Algeria,Africa,257,10,10,247,247,257,0,Unknown
1985-12-12 00:00:00,Arrow Air,Takeoff (climb),Commercial,Canada,North America,256,8,8,248,248,256,0,Unknown
1977-03-27 00:00:00,KLM Royal Dutch Airlines - Koninklijke Luchtvaart Maatschappij,Takeoff (climb),Commercial,Spain,Europe,248,14,14,234,234,248,0,Human Factor
2014-03-08 00:00:00,Malaysian Airlines System - MAS,Flight,Commercial,World,World,239,12,12,227,227,239,0,Unknown
1997-09-26 00:00:00,Garuda Indonesian Airways,Landing (descent or approach),Commercial,Indonesia,Asia,234,12,12,222,222,234,0,Human Factor
1996-07-17 00:00:00,Trans World Airlines - TWA,Flight,Commercial,United States of America,North America,230,18,18,212,212,230,0,Technical Failure
1998-09-02 00:00:00,Swissair,Flight,Commercial,Canada,North America,229,14,14,215,215,229,0,Technical Failure
1997-08-06 00:00:00,Korean Air,Landing (descent or approach),Commercial,Guam Island,Asia,254,17,14,237,214,228,26,Human Factor
